0 Energy initial, next-to-last, final = 3.31805947663 0 3.31805947663
1 Energy initial, next-to-last, final = -0.230090706924 0 -0.230090706924
2 Energy initial, next-to-last, final = -0.49202830417 0 -0.49202830417
3 Energy initial, next-to-last, final = -0.360702874567 0 -0.360702874567
4 Energy initial, next-to-last, final = -0.233710574118 0 -0.233710574118
5 Energy initial, next-to-last, final = -0.149019804602 0 -0.149019804602
6 Energy initial, next-to-last, final = -0.0961711823051 0 -0.0961711823051
7 Energy initial, next-to-last, final = -0.0633400964394 0 -0.0633400964394
8 Energy initial, next-to-last, final = -0.0426511248341 0 -0.0426511248341
9 Energy initial, next-to-last, final = -0.029347364462 0 -0.029347364462
10 Energy initial, next-to-last, final = -0.0206063917798 0 -0.0206063917798
11 Energy initial, next-to-last, final = -0.014741254913 0 -0.014741254913
12 Energy initial, next-to-last, final = -0.0107269379756 0 -0.0107269379756
13 Energy initial, next-to-last, final = -0.00792830315444 0 -0.00792830315444
14 Energy initial, next-to-last, final = -0.00594375771057 0 -0.00594375771057
15 Energy initial, next-to-last, final = -0.00451431537883 0 -0.00451431537883
16 Energy initial, next-to-last, final = -0.00346978876113 0 -0.00346978876113
17 Energy initial, next-to-last, final = -0.00269635028778 0 -0.00269635028778
18 Energy initial, next-to-last, final = -0.00211660164736 0 -0.00211660164736
19 Energy initial, next-to-last, final = -0.00167710008818 0 -0.00167710008818
20 Energy initial, next-to-last, final = -0.00134041239169 0 -0.00134041239169
21 Energy initial, next-to-last, final = -0.00107996755543 0 -0.00107996755543
22 Energy initial, next-to-last, final = -0.000876669371477 0 -0.000876669371477
23 Energy initial, next-to-last, final = -0.000716633850923 0 -0.000716633850923
24 Energy initial, next-to-last, final = -0.000589656766251 0 -0.000589656766251
25 Energy initial, next-to-last, final = -0.00048816204071 0 -0.00048816204071
