0 Energy initial, next-to-last, final = 15.2838660072 6.58676066208e-317 15.2838660072
1 Energy initial, next-to-last, final = 8.93643995732 6.58679228228e-317 8.93643995732
2 Energy initial, next-to-last, final = 3.8007382237 6.58685552268e-317 3.8007382237
3 Energy initial, next-to-last, final = -0.341400997135 6.58676066208e-317 -0.341400997135
4 Energy initial, next-to-last, final = -3.65297833886 6.58682390248e-317 -3.65297833886
5 Energy initial, next-to-last, final = -6.2754943895 6.58676066208e-317 -6.2754943895
6 Energy initial, next-to-last, final = -8.32906340876 6.58679228228e-317 -8.32906340876
7 Energy initial, next-to-last, final = -9.91131632146 6.58682390248e-317 -9.91131632146
8 Energy initial, next-to-last, final = -11.098687166 6.58679228228e-317 -11.098687166
9 Energy initial, next-to-last, final = -11.9730798296 6.58679228228e-317 -11.9730798296
10 Energy initial, next-to-last, final = -12.583733171 6.58679228228e-317 -12.583733171
11 Energy initial, next-to-last, final = -12.9772571123 6.58679228228e-317 -12.9772571123
12 Energy initial, next-to-last, final = -13.1962722427 6.58676066208e-317 -13.1962722427
13 Energy initial, next-to-last, final = -13.2724230634 6.58679228228e-317 -13.2724230634
14 Energy initial, next-to-last, final = -13.2331548166 6.58676066208e-317 -13.2331548166
15 Energy initial, next-to-last, final = -13.101001721 6.58676066208e-317 -13.101001721
16 Energy initial, next-to-last, final = -12.8934334302 6.58679228228e-317 -12.8934334302
17 Energy initial, next-to-last, final = -12.5934593099 6.58676066208e-317 -12.5934593099
18 Energy initial, next-to-last, final = -12.2586182589 6.58685552268e-317 -12.2586182589
19 Energy initial, next-to-last, final = -12.0024367927 6.58682390248e-317 -12.0024367927
20 Energy initial, next-to-last, final = -11.8795784302 6.58676066208e-317 -11.8795784302
21 Energy initial, next-to-last, final = -11.7008171292 6.58679228228e-317 -11.7008171292
22 Energy initial, next-to-last, final = -11.32662675 6.58679228228e-317 -11.32662675
23 Energy initial, next-to-last, final = -10.7355089275 6.58682390248e-317 -10.7355089275
24 Energy initial, next-to-last, final = -9.95091719362 6.58682390248e-317 -9.95091719362
25 Energy initial, next-to-last, final = -9.02577223255 6.58679228228e-317 -9.02577223255
